rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook,size
63,Delft University of TechnologyNetherlands,17057,19.6,27%,28 : 72,67.3,53.4,72.0,68.5,99.8,88.5,large
64,Wageningen University & ResearchNetherlands,12326,19.7,29%,55 : 45,67.2,46.6,53.6,95.2,100.0,80.6,medium
65,University of QueenslandAustralia,38968,35.7,26%,55 : 45,67.0,47.6,59.4,87.8,76.2,88.8,large
66,University of Southern CaliforniaUnited States,38380,12.8,23%,53 : 47,66.8,49.8,58.4,95.6,37.9,63.0,large
67,Leiden UniversityNetherlands,24825,18.2,12%,57 : 43,66.0,44.6,63.2,87.8,78.8,70.5,large
68,Utrecht UniversityNetherlands,31522,15.2,7%,59 : 41,65.8,45.5,63.1,89.9,72.6,59.6,large
69,"University of Maryland, College ParkUnited States",31772,16.5,10%,48 : 52,65.7,49.6,63.0,93.5,38.4,39.0,large
70,Boston UniversityUnited States,24833,8.6,25%,60 : 40,65.4,57.1,45.9,97.2,34.0,60.0,large
70,Ohio State UniversityUnited States,53190,12.7,13%,49 : 51,65.4,55.5,56.2,88.0,52.0,56.4,large
72,Erasmus University RotterdamNetherlands,22047,20.1,20%,49 : 51,65.2,38.9,57.2,96.7,51.7,80.6,large
72,Paris Sciences & Lettres – PSL UniversityFrance,19978,10.1,25%,,65.2,57.0,52.0,85.0,48.2,76.7,large
74,Kyoto UniversityJapan,22481,8.7,8%,24 : 76,64.9,71.8,78.6,50.9,93.8,28.8,large
74,Seoul National UniversitySouth Korea,26470,12.6,11%,,64.9,69.3,71.2,60.6,79.8,34.1,large
76,University of BristolUnited Kingdom,19995,13.7,27%,53 : 47,64.8,45.7,51.2,94.7,39.3,84.8,large
77,Pennsylvania State UniversityUnited States,45411,15.2,14%,46 : 54,64.6,53.6,64.8,81.6,50.0,44.3,large
78,McMaster UniversityCanada,23693,24.7,15%,52 : 48,63.4,45.6,48.8,89.9,89.8,78.1,large
79,RWTH Aachen UniversityGermany,43721,57.7,18%,32 : 68,63.3,53.4,62.4,72.8,99.7,56.4,large
80,University of GlasgowUnited Kingdom,23389,15.4,36%,58 : 42,63.2,43.4,48.9,92.6,38.6,90.4,large
80,Monash UniversityAustralia,46846,33.7,28%,57 : 43,63.2,47.4,55.4,80.9,71.5,83.8,large
82,University of FreiburgGermany,20871,40.3,19%,57 : 43,62.9,47.1,54.3,83.1,100.0,67.2,large
83,University of GroningenNetherlands,26197,24.1,17%,52 : 48,62.8,40.7,54.8,89.0,77.2,74.4,large
83,Michigan State UniversityUnited States,44556,17.0,17%,51 : 49,62.8,55.1,53.3,82.6,35.7,61.2,large
85,University of New South WalesAustralia,40133,26.7,34%,46 : 54,62.5,40.9,57.5,82.8,49.8,91.4,large
86,Rice UniversityUnited States,6441,9.0,28%,43 : 57,62.2,45.1,41.9,98.7,42.4,72.7,medium
86,Uppsala UniversitySweden,25174,17.3,11%,57 : 43,62.2,42.9,56.1,84.6,79.5,68.8,large
88,Free University of BerlinGermany,34114,57.0,21%,59 : 41,62.1,58.7,66.5,60.6,39.8,71.8,large
89,Dartmouth CollegeUnited States,6100,6.6,15%,47 : 53,62.0,58.5,41.9,93.4,37.9,39.1,medium
90,University of HelsinkiFinland,22532,16.2,6%,65 : 35,61.7,45.7,56.6,86.9,35.5,53.3,large
91,University of WarwickUnited Kingdom,18424,13.0,39%,48 : 52,61.6,46.6,52.0,80.4,41.0,91.9,large
92,Technical University of BerlinGermany,22390,64.3,20%,34 : 66,61.5,49.0,58.0,74.2,97.8,62.4,large
93,Lund UniversitySweden,28663,12.1,16%,55 : 45,61.3,40.8,52.6,85.9,70.9,76.1,large
94,University of TübingenGermany,27844,38.5,13%,59 : 41,61.2,45.7,55.4,83.0,55.4,60.8,large
95,University of BaselSwitzerland,12729,17.7,27%,55 : 45,60.9,39.8,39.9,91.0,99.9,95.9,medium
95,Korea Advanced Institute of Science and Technology (KAIST)South Korea,9464,10.6,9%,20 : 80,60.9,56.3,59.2,70.4,100.0,35.6,medium
97,Durham UniversityUnited Kingdom,16310,14.9,29%,54 : 46,60.8,44.8,47.9,84.6,36.8,89.0,large
98,Emory UniversityUnited States,12649,4.4,19%,57 : 43,60.7,47.1,40.4,98.1,42.3,53.3,medium
99,"University of California, IrvineUnited States",30419,17.0,21%,52 : 48,60.6,43.4,44.9,93.6,43.9,65.2,large
100,University of BonnGermany,35619,77.9,13%,55 : 45,60.5,47.3,41.6,91.3,83.5,58.4,large
100,University of Colorado BoulderUnited States,30780,16.3,10%,44 : 56,60.5,44.8,45.8,97.4,37.5,42.4,large
100,University of PittsburghUnited States,26367,5.9,10%,52 : 48,60.5,45.7,48.7,94.9,39.9,36.8,large
103,Maastricht UniversityNetherlands,16727,18.0,50%,58 : 42,60.4,40.2,49.7,79.9,87.6,96.7,large
104,University of SheffieldUnited Kingdom,24581,14.9,36%,50 : 50,60.1,42.9,45.7,86.8,43.7,85.4,large
105,University of BernSwitzerland,10449,16.5,15%,56 : 44,60.0,42.7,43.6,85.4,81.0,85.7,medium
105,Vanderbilt UniversityUnited States,12011,3.3,13%,53 : 47,60.0,47.7,41.4,96.9,52.8,38.9,medium
107,Ghent UniversityBelgium,35909,35.9,10%,53 : 47,59.8,44.4,56.2,77.6,84.3,56.8,large
108,University of MontrealCanada,41017,21.9,22%,55 : 45,59.6,44.5,48.9,79.0,65.3,83.2,large
109,Aarhus UniversityDenmark,25167,14.3,12%,54 : 46,59.4,37.3,53.6,82.7,67.6,75.3,large
109,University of CopenhagenDenmark,30395,4.1,14%,58 : 42,59.4,44.0,39.7,90.6,44.6,79.3,large
111,Sungkyunkwan University (SKKU)South Korea,24055,19.6,12%,42 : 58,59.3,54.1,55.1,69.5,93.7,44.7,large
111,University of Western AustraliaAustralia,18787,21.8,25%,49 : 51,59.3,33.5,46.1,90.6,54.5,91.9,large
113,University of GöttingenGermany,28554,27.9,12%,50 : 50,59.2,47.1,50.3,82.4,33.7,58.6,large
113,University of VirginiaUnited States,24055,9.7,12%,52 : 48,59.2,52.4,40.7,89.3,40.6,46.5,large
115,École PolytechniqueFrance,2799,5.1,36%,21 : 79,59.1,54.4,38.2,75.1,70.8,93.4,small
116,Fudan UniversityChina,32859,12.1,10%,51 : 49,58.9,59.5,57.5,65.1,53.0,38.7,large
117,Indiana UniversityUnited States,66835,14.1,15%,52 : 48,58.7,50.5,46.5,81.9,51.5,50.5,large
117,Trinity College DublinIreland,16157,22.8,27%,58 : 42,58.7,45.3,44.8,79.0,41.2,92.1,large
119,University of AlbertaCanada,32435,21.6,26%,55 : 45,58.6,47.2,51.2,70.5,63.4,84.8,large
119,City University of Hong KongHong Kong,9240,11.2,35%,54 : 46,58.6,40.8,48.6,79.4,65.9,84.4,medium
121,Queen Mary University of LondonUnited Kingdom,15405,13.3,45%,54 : 46,58.5,32.8,38.2,96.7,39.1,95.5,large
122,Radboud University NijmegenNetherlands,19358,19.1,12%,56 : 44,58.4,33.9,50.4,89.4,44.8,68.8,large
123,Georgetown UniversityUnited States,15956,8.6,17%,54 : 46,58.3,51.8,37.2,87.5,66.3,49.6,large
123,Pierre and Marie Curie UniversityFrance,25117,12.3,20%,49 : 51,58.3,49.5,39.8,85.7,31.8,66.6,large
125,University of MannheimGermany,10995,74.5,16%,54 : 46,58.2,41.8,53.0,80.5,57.8,55.9,medium
126,Arizona State UniversityUnited States,44475,20.1,19%,43 : 57,58.1,41.5,48.3,87.1,35.7,55.2,large
126,Charité - Universitätsmedizin BerlinGermany,6792,16.2,18%,63 : 37,58.1,43.3,39.2,88.6,87.5,60.7,medium
126,University of SouthamptonUnited Kingdom,21670,12.5,33%,53 : 47,58.1,37.9,43.7,86.0,38.5,92.0,large
129,Université Catholique de LouvainBelgium,24451,37.8,19%,54 : 46,58.0,38.9,52.2,78.6,54.0,76.7,large
130,University of ExeterUnited Kingdom,19159,17.5,28%,55 : 45,57.8,34.5,39.3,93.7,34.6,88.8,large
130,University of GenevaSwitzerland,16085,15.1,40%,61 : 39,57.8,35.8,43.6,82.9,68.7,98.2,large
132,University of Science and Technology of ChinaChina,16032,8.2,3%,,57.7,52.7,49.1,76.9,81.7,27.9,large
133,Karlsruhe Institute of TechnologyGermany,25824,26.3,18%,27 : 73,57.6,44.6,47.7,75.7,97.9,62.9,large
134,University of AdelaideAustralia,21241,34.3,26%,48 : 52,57.5,35.9,43.1,85.3,67.3,86.6,large
134,Stockholm UniversitySweden,33156,24.9,8%,,57.5,33.1,48.4,89.1,34.5,72.7,large
136,University of ZurichSwitzerland,26363,5.9,20%,57 : 43,57.4,42.0,36.0,87.0,43.2,90.8,large
137,Pohang University of Science and TechnologySouth Korea,3046,10.4,4%,22 : 78,57.3,47.9,49.8,76.4,99.8,34.3,small
137,University of YorkUnited Kingdom,14962,15.1,27%,55 : 45,57.3,40.5,44.9,81.6,34.1,85.3,medium
139,University of LeedsUnited Kingdom,27995,14.7,26%,60 : 40,57.1,42.2,46.7,77.8,38.8,82.1,large
140,Pompeu Fabra UniversitySpain,11172,20.8,12%,59 : 41,56.9,34.7,38.9,97.1,40.0,62.3,medium
141,University of BirminghamUnited Kingdom,27061,15.0,27%,54 : 46,56.8,36.5,38.3,89.7,37.2,86.3,large
141,Eindhoven University of TechnologyNetherlands,7637,18.6,17%,28 : 72,56.8,41.3,49.0,72.3,100.0,73.9,medium
143,University of FloridaUnited States,46346,17.5,9%,54 : 46,56.6,52.8,51.2,68.4,80.7,37.9,large
143,University of St AndrewsUnited Kingdom,9005,13.0,48%,58 : 42,56.6,42.9,42.5,76.6,33.6,95.5,medium
145,University of CologneGermany,45087,50.9,10%,65 : 35,56.4,39.8,42.7,84.8,76.8,57.1,large
146,University of OsloNorway,27730,18.6,19%,60 : 40,56.3,36.0,42.8,86.8,41.9,73.4,large
147,Autonomous University of BarcelonaSpain,32309,12.9,16%,59 : 41,56.2,43.3,36.1,89.5,42.1,60.1,large
147,University of NottinghamUnited Kingdom,29176,14.0,30%,54 : 46,56.2,40.5,41.9,80.5,38.5,84.4,large
147,University of SussexUnited Kingdom,12384,15.4,38%,55 : 45,56.2,34.1,38.1,89.5,33.3,91.5,medium
150,Lancaster UniversityUnited Kingdom,11637,13.1,38%,51 : 49,55.9,37.0,40.5,83.2,33.7,91.1,medium
150,University of Notre DameUnited States,11912,13.4,11%,45 : 55,55.9,49.8,37.9,83.0,35.3,50.7,medium
152,University of LausanneSwitzerland,13065,13.6,25%,,55.7,30.4,47.4,78.5,78.4,90.8,medium
153,Technical University of DenmarkDenmark,8548,6.0,24%,29 : 71,55.6,35.9,39.5,81.6,63.8,91.6,medium
153,University of RochesterUnited States,9636,4.3,29%,49 : 51,55.6,41.7,34.2,90.2,39.5,63.7,medium
155,Scuola Superiore Sant’AnnaItaly,690,11.7,14%,37 : 63,55.5,41.6,36.0,88.0,87.8,48.3,small
155,TU DresdenGermany,34514,35.9,13%,42 : 58,55.5,42.8,46.9,74.2,95.0,52.6,large
155,Ulm UniversityGermany,10657,28.4,13%,48 : 52,55.5,37.1,37.4,90.0,77.3,56.5,medium
158,Case Western Reserve UniversityUnited States,10130,7.1,19%,49 : 51,55.2,44.4,34.9,90.1,36.7,46.1,medium
159,University of LeicesterUnited Kingdom,14635,14.1,38%,54 : 46,55.0,32.2,34.5,91.4,35.2,89.9,medium
159,Texas A&M UniversityUnited States,56245,23.6,9%,48 : 52,55.0,50.4,56.3,60.2,41.2,52.0,large
161,University of ArizonaUnited States,38334,13.0,9%,52 : 48,54.9,44.3,38.7,85.4,46.1,43.3,large
162,"University of California, Santa CruzUnited States",17866,23.0,4%,52 : 48,54.8,31.5,35.0,99.9,38.2,51.6,large
162,Cardiff UniversityUnited Kingdom,24186,13.5,26%,58 : 42,54.8,35.8,39.3,84.5,35.5,80.6,large
162,University of Erlangen-NurembergGermany,38730,58.5,12%,49 : 51,54.8,39.8,44.0,77.6,95.9,53.0,large
165,University of ViennaAustria,35375,20.8,26%,66 : 34,54.7,42.6,47.6,66.0,33.2,93.4,large
165,Vrije Universiteit AmsterdamNetherlands,24554,18.1,7%,56 : 44,54.7,32.5,40.7,89.1,56.3,60.7,large
165,University of WürzburgGermany,22537,33.9,9%,57 : 43,54.7,35.8,42.8,86.5,46.1,53.7,large
168,University of Alabama at BirminghamUnited States,15703,15.2,6%,61 : 39,54.6,39.7,32.8,95.1,67.6,34.6,large
169,Nanjing UniversityChina,33456,14.2,10%,50 : 50,54.5,49.6,47.0,64.9,77.8,54.4,large
169,Tufts UniversityUnited States,10463,9.3,16%,54 : 46,54.5,44.1,33.4,88.1,36.7,52.7,medium
171,University of Cape TownSouth Africa,20775,11.7,18%,53 : 47,54.4,30.5,36.2,87.0,88.5,81.1,large
172,"Rutgers, the State University of New JerseyUnited States",43439,11.1,10%,52 : 48,54.3,43.0,45.3,79.7,36.9,39.2,large
173,KTH Royal Institute of TechnologySweden,12951,16.0,17%,33 : 67,54.2,42.3,46.3,67.0,50.9,83.7,medium
173,University of MünsterGermany,42287,42.6,7%,53 : 47,54.2,40.3,42.1,81.2,60.8,47.7,large
175,Université Libre de BruxellesBelgium,25343,43.4,35%,55 : 45,54.0,32.4,42.2,80.4,48.4,83.2,large
175,Newcastle UniversityUnited Kingdom,20952,15.6,30%,49 : 51,54.0,33.4,40.8,80.6,41.6,86.7,large
177,University of LiverpoolUnited Kingdom,19815,11.7,35%,54 : 46,53.9,32.7,34.7,86.8,37.1,89.9,large
177,Zhejiang UniversityChina,50051,14.1,6%,22 : 78,53.9,57.0,63.7,45.1,89.4,25.2,large
179,University of LuxembourgLuxembourg,4969,14.6,57%,50 : 50,53.8,26.8,32.4,91.9,39.6,99.8,small
179,University of TwenteNetherlands,6697,12.8,27%,37 : 63,53.8,35.5,47.0,68.5,83.6,85.3,medium
181,Paris-Sud UniversityFrance,27221,14.5,16%,55 : 45,53.7,40.4,33.1,86.8,32.3,63.5,large
182,École Normale Supérieure de LyonFrance,2221,8.5,13%,47 : 53,53.6,40.1,37.8,80.9,37.9,67.3,small
182,Hong Kong Polytechnic UniversityHong Kong,21773,26.9,25%,51 : 49,53.6,39.1,48.1,67.7,45.8,79.9,large
184,Scuola Normale Superiore di PisaItaly,515,5.2,7%,30 : 70,53.4,53.7,33.3,75.4,37.7,49.4,small
185,University of AberdeenUnited Kingdom,12055,13.9,36%,55 : 45,53.3,30.3,33.6,87.1,41.9,93.3,medium
186,University of MiamiUnited States,15860,5.9,16%,51 : 49,53.1,42.5,24.4,90.3,37.2,67.1,large
187,University of DundeeUnited Kingdom,10893,14.9,24%,62 : 38,52.9,26.3,32.0,94.5,43.4,79.8,medium
188,University of East AngliaUnited Kingdom,13521,13.6,30%,60 : 40,52.8,29.9,31.6,90.5,32.2,85.6,medium
188,Shanghai Jiao Tong UniversityChina,37288,12.4,6%,41 : 59,52.8,53.5,62.5,44.1,88.9,33.4,large
190,Aalto UniversityFinland,12744,20.2,20%,34 : 66,52.7,37.8,35.8,79.5,52.5,72.5,medium
191,University of MassachusettsUnited States,59230,13.3,14%,49 : 51,52.6,36.3,32.2,88.8,51.0,54.8,large
192,University of AucklandNew Zealand,30348,18.8,29%,54 : 46,52.5,32.5,40.7,73.8,67.3,90.6,large
193,Northeastern UniversityUnited States,18780,14.0,32%,49 : 51,52.4,35.6,26.8,91.7,35.4,70.1,large
194,Lomonosov Moscow State UniversityRussian Federation,29236,7.3,22%,48 : 52,52.3,74.2,61.6,15.8,89.0,61.1,large
195,Tilburg UniversityNetherlands,7738,22.5,13%,48 : 52,52.1,38.4,50.1,61.3,59.0,75.8,medium
196,Paris-Sorbonne University – Paris 4France,22042,30.2,15%,68 : 32,52.0,44.6,34.3,77.1,32.1,57.9,large
197,"Royal Holloway, University of LondonUnited Kingdom",8931,15.4,40%,59 : 41,51.9,33.9,27.9,85.0,35.0,93.0,medium
198,"University of California, RiversideUnited States",20740,20.7,14%,51 : 49,51.7,30.0,30.9,92.3,37.4,63.9,large
198,University of GothenburgSweden,18378,10.0,13%,,51.7,26.7,39.2,87.5,38.9,62.5,large
198,National Taiwan UniversityTaiwan,31758,11.5,8%,40 : 60,51.7,50.4,54.7,53.4,65.0,33.4,large
201–250,Aalborg UniversityDenmark,15512,13.6,13%,49 : 51,51.0,28.2,36.2,84.2,46.5,70.7,large
201–250,University of AntwerpBelgium,16056,35.2,16%,53 : 47,51.3,34.6,40.1,73.3,75.9,66.3,large
201–250,University of BarcelonaSpain,47458,12.4,10%,61 : 39,49.1,32.4,32.5,83.2,34.0,50.6,large
201–250,University of BergenNorway,12554,12.0,13%,60 : 40,51.5,29.2,30.6,90.0,35.2,75.3,medium
201–250,University of BolognaItaly,62296,22.2,10%,,50.6,43.6,30.1,80.0,39.1,47.4,large
201–250,Brandeis UniversityUnited States,5620,12.9,25%,55 : 45,50.4,28.9,24.3,99.7,33.7,49.8,medium
201–250,University of CalgaryCanada,27084,15.7,19%,,51.1,34.6,35.8,77.2,53.5,73.6,large
201–250,Chalmers University of TechnologySweden,9112,11.4,16%,31 : 69,48.7,35.1,39.6,62.3,70.2,78.3,medium
201–250,University of CincinnatiUnited States,28035,20.7,9%,52 : 48,48.5,36.9,30.3,82.0,41.0,35.6,large
201–250,Copenhagen Business SchoolDenmark,19079,44.3,23%,49 : 51,50.3,24.2,36.6,80.8,40.4,91.2,large
201–250,University of DelawareUnited States,20125,16.8,10%,57 : 43,49.1,27.8,37.5,79.5,91.0,45.4,large
201–250,University of Duisburg-EssenGermany,41916,53.8,13%,48 : 52,51.2,32.8,29.9,88.8,73.8,52.7,large
201–250,Florida State UniversityUnited States,38386,26.3,7%,55 : 45,51.5,41.3,42.0,73.3,37.2,47.3,large
201–250,University of FribourgSwitzerland,10769,45.4,18%,58 : 42,48.4,34.2,35.0,65.5,58.5,86.9,medium
201–250,George Washington UniversityUnited States,22015,12.9,16%,58 : 42,50.3,44.8,30.4,77.2,32.6,50.3,large
201–250,University of HamburgGermany,38182,48.4,12%,56 : 44,51.2,43.5,42.0,65.0,67.7,58.0,large
201–250,University of Hawai’i at MānoaUnited States,16256,11.0,13%,56 : 44,51.4,37.3,37.1,76.2,49.9,65.9,large
201–250,Hebrew University of JerusalemIsrael,17454,11.2,5%,55 : 45,51.3,39.9,41.7,71.8,36.3,58.2,large
201–250,University of IcelandIceland,8693,15.3,10%,66 : 34,48.7,19.5,29.0,93.4,57.3,63.0,medium
201–250,University of IowaUnited States,27310,12.4,13%,52 : 48,50.4,42.0,34.0,78.2,60.6,35.4,large
201–250,James Cook UniversityAustralia,11867,22.5,12%,62 : 38,48.7,23.4,27.7,89.1,42.9,73.9,medium
201–250,University of KielGermany,25392,23.4,8%,53 : 47,50.4,31.5,28.1,94.4,9.1,52.4,large
201–250,King Abdulaziz UniversitySaudi Arabia,31554,8.1,21%,54 : 46,50.3,25.6,15.3,97.3,77.8,92.0,large
201–250,University of KonstanzGermany,11381,48.2,12%,54 : 46,51.0,39.1,44.5,65.2,69.9,61.8,medium
201–250,Korea UniversitySouth Korea,23037,15.6,19%,46 : 54,48.5,44.7,47.7,49.0,97.7,49.0,large
201–250,"National University of Ireland, GalwayIreland",13898,26.6,18%,57 : 43,48.3,26.8,30.1,80.5,42.5,80.3,medium
201–250,Osaka UniversityJapan,23256,9.5,10%,31 : 69,49.5,53.7,57.6,38.7,81.3,33.5,large
201–250,University of OtagoNew Zealand,18157,19.9,20%,57 : 43,51.0,31.2,30.7,82.2,45.1,88.6,large
201–250,University of OttawaCanada,35177,25.6,17%,59 : 41,49.8,37.6,37.5,69.1,40.2,73.6,large
201–250,Paris Diderot University – Paris 7France,27992,14.9,17%,63 : 37,49.6,30.2,25.8,89.7,32.6,67.7,large
201–250,University of PassauGermany,11804,74.8,9%,61 : 39,48.6,30.2,23.6,92.7,40.8,49.0,medium
201–250,University of PotsdamGermany,20066,59.1,10%,58 : 42,50.6,35.6,41.4,74.3,42.2,55.0,large
201–250,Queen’s University BelfastUnited Kingdom,17947,16.6,32%,55 : 45,51.1,28.3,32.3,83.1,35.7,94.6,large
201–250,Queensland University of TechnologyAustralia,35211,37.0,17%,54 : 46,50.7,30.7,40.3,73.0,63.2,79.1,large
201–250,University of ReadingUnited Kingdom,12874,14.7,33%,56 : 44,50.6,34.6,34.9,73.9,36.9,88.8,medium
201–250,Royal College of Surgeons in IrelandIreland,2136,17.6,64%,,51.6,31.9,21.8,92.8,40.7,88.6,small
