
1,University of OxfordUnited Kingdom,95.0,89.6,99.1,99.2,62.5,94.5
=25,London School of Economics and Political ScienceUnited Kingdom,80.2,70.8,74.7,96.3,34.8,91.0
=25,University of WashingtonUnited States,80.2,70.2,80.4,98.8,49.8,55.0
27,University of EdinburghUnited Kingdom,79.2,67.5,74.7,96.0,35.0,91.5
28,Karolinska InstituteSweden,77.6,62.1,76.0,95.9,72.1,74.2
29,Peking UniversityChina,77.2,84.6,80.3,71.6,100.0,50.3
=30,LMU MunichGermany,76.8,70.5,73.4,87.4,100.0,65.4
=30,École Polytechnique Fédérale de LausanneSwitzerland,76.8,62.9,66.1,96.5,69.8,98.6
32,New York UniversityUnited States,76.7,75.1,68.8,95.3,33.6,54.3
=33,Georgia Institute of TechnologyUnited States,76.3,60.8,79.2,90.8,62.3,72.8
=33,University of MelbourneAustralia,76.3,65.4,73.6,88.1,63.7,88.3
35,Tsinghua UniversityChina,76.2,78.9,89.6,67.4,99.7,39.4
=36,University of British ColumbiaCanada,75.9,61.2,72.5,92.9,41.1,92.0
=36,University of Illinois at Urbana-ChampaignUnited States,75.9,65.6,81.4,89.3,50.3,49.7
=36,King’s College LondonUnited Kingdom,75.9,61.5,71.0,93.5,42.5,93.8
39,The University of TokyoJapan,74.1,83.4,89.2,62.4,53.4,30.6
40,KU LeuvenBelgium,73.8,57.0,73.7,90.1,99.8,67.4
41,"University of California, San DiegoUnited States",73.2,61.2,66.2,98.9,67.3,47.7
42,McGill UniversityCanada,73.1,66.4,70.3,81.8,41.9,86.4
=43,Heidelberg UniversityGermany,73.0,66.7,65.0,90.8,60.0,62.7
=43,University of Hong KongHong Kong,73.0,66.5,74.5,73.2,52.9,99.4
45,University of Wisconsin-MadisonUnited States,72.6,68.2,71.4,87.9,47.4,42.0
46,Technical University of MunichGermany,71.6,61.0,70.5,82.0,100.0,66.6
47,Australian National UniversityAustralia,71.3,54.0,73.9,81.7,53.5,93.9
48,"University of California, Santa BarbaraUnited States",71.2,52.2,62.6,99.2,87.6,63.3
49,Hong Kong University of Science and TechnologyHong Kong,71.1,53.2,66.7,91.2,62.0,82.8
50,University of Texas at AustinUnited States,70.8,63.9,65.9,93.0,51.3,35.7
=51,Brown UniversityUnited States,70.4,66.3,54.4,96.7,33.9,58.0
=51,"University of California, DavisUnited States",70.4,61.4,67.3,86.6,50.0,61.2
53,University of MinnesotaUnited States,70.3,60.3,69.8,87.0,94.2,38.2
54,"Nanyang Technological University, SingaporeSingapore",70.0,50.6,60.2,90.7,93.5,95.7
55,University of ManchesterUnited Kingdom,69.7,58.2,66.3,82.3,45.1,87.0
56,University of North Carolina at Chapel HillUnited States,69.3,61.9,59.6,96.1,41.0,40.0
=57,Humboldt University of BerlinGermany,69.2,62.5,69.0,79.9,39.4,64.4
=57,Washington University in St LouisUnited States,69.2,60.7,56.2,99.1,36.9,45.5
59,Delft University of TechnologyNetherlands,67.9,56.2,72.9,67.3,99.9,85.9
=60,University of QueenslandAustralia,67.2,49.7,60.1,86.1,70.6,88.6
=60,University of Southern CaliforniaUnited States,67.2,50.5,60.0,94.7,39.4,62.7
=60,University of SydneyAustralia,67.2,51.3,63.2,83.2,63.9,83.7
63,University of AmsterdamNetherlands,67.1,49.4,62.0,90.3,54.6,69.3
64,Boston UniversityUnited States,66.9,60.2,48.5,97.7,34.4,54.6
65,Wageningen University & ResearchNetherlands,66.6,51.8,50.1,92.8,100.0,75.6
66,École Normale SupérieureFrance,65.8,59.8,52.3,85.8,40.0,72.2
67,"University of Maryland, College ParkUnited States",65.3,51.0,63.2,91.1,38.5,36.7
68,Pennsylvania State UniversityUnited States,65.0,55.6,63.3,82.9,51.9,42.7
69,Erasmus University RotterdamNetherlands,64.6,38.8,56.8,95.6,57.7,77.1
70,Purdue UniversityUnited States,64.5,57.2,66.8,69.0,62.5,67.7
71,University of BristolUnited Kingdom,64.4,45.9,51.7,92.7,40.9,83.2
=72,Ohio State UniversityUnited States,64.2,57.0,53.1,86.2,50.6,54.6
=72,Seoul National UniversitySouth Korea,64.2,70.2,69.8,58.8,85.2,32.4
74,Monash UniversityAustralia,64.0,49.5,57.4,78.5,76.0,87.1
75,Free University of BerlinGermany,63.7,58.1,67.3,66.9,38.9,67.2
76,Chinese University of Hong KongHong Kong,63.6,52.2,60.4,74.6,44.7,84.0
77,Leiden UniversityNetherlands,63.3,46.1,57.9,86.1,47.3,68.1
=78,University of New South WalesAustralia,63.0,43.2,58.6,81.4,49.7,91.0
=78,RWTH Aachen UniversityGermany,63.0,53.3,63.7,71.3,99.4,53.4
=80,University of GroningenNetherlands,62.2,41.9,55.1,87.1,79.9,66.4
=80,University of PittsburghUnited States,62.2,49.2,51.9,94.2,39.6,35.4
=82,Dartmouth CollegeUnited States,62.0,58.6,41.1,94.2,39.9,37.9
=82,Emory UniversityUnited States,62.0,52.9,39.7,97.4,43.2,52.7
=82,Technical University of BerlinGermany,62.0,49.8,59.3,74.3,98.0,60.8
=82,University of WarwickUnited Kingdom,62.0,46.8,52.6,80.9,40.8,91.4
86,Utrecht UniversityNetherlands,61.9,46.1,48.5,90.7,80.7,57.6
87,Rice UniversityUnited States,61.7,46.9,38.7,99.1,43.4,69.5
88,University of GlasgowUnited Kingdom,61.4,40.6,47.8,90.6,39.4,88.6
=89,Korea Advanced Institute of Science and Technology (KAIST)South Korea,61.3,55.7,53.2,78.5,100.0,34.3
=89,University of TübingenGermany,61.3,46.0,56.2,82.9,56.3,57.8
=91,University of HelsinkiFinland,61.2,47.0,57.6,83.5,34.9,52.2
=91,Kyoto UniversityJapan,61.2,70.2,70.1,50.4,75.1,28.0
93,Uppsala UniversitySweden,61.1,43.0,57.1,85.2,40.4,59.9
94,Maastricht UniversityNetherlands,61.0,39.2,48.6,84.4,85.7,96.0
95,University of FreiburgGermany,60.9,45.9,49.9,83.6,100.0,61.1
=96,Durham UniversityUnited Kingdom,60.6,43.0,49.0,85.0,37.4,87.0
=96,Lund UniversitySweden,60.6,41.3,53.1,83.2,68.5,74.6
=98,Aarhus UniversityDenmark,60.3,39.0,54.7,83.0,65.4,75.7
=98,University of BaselSwitzerland,60.3,40.1,36.8,92.4,99.3,94.4
=98,"University of California, IrvineUnited States",60.3,42.5,45.0,94.1,45.5,62.3
101,Michigan State UniversityUnited States,59.9,51.6,48.9,81.1,38.5,58.8
102,University of MannheimGermany,59.8,39.1,51.3,88.3,76.4,57.7
103,University of MontrealCanada,59.7,46.8,47.8,77.4,67.7,85.0
=104,Georgetown UniversityUnited States,59.6,56.7,39.3,84.6,74.4,47.3
=104,Pohang University of Science and TechnologySouth Korea,59.6,53.8,48.7,79.2,99.6,34.2
106,University of ZurichSwitzerland,59.5,46.4,38.5,87.5,44.2,89.3
107,University of AlbertaCanada,59.4,49.5,53.0,69.9,61.3,82.7
108,Vanderbilt UniversityUnited States,59.3,50.1,37.3,96.7,73.5,29.8
109,University of SheffieldUnited Kingdom,59.1,42.3,47.6,82.7,44.7,83.1
=110,University of BernSwitzerland,58.9,43.2,43.0,82.8,75.5,83.8
=110,University of St AndrewsUnited Kingdom,58.9,45.2,44.3,80.3,33.7,94.3
112,University of GöttingenGermany,58.8,49.7,48.0,81.1,34.8,56.6
=113,University of BonnGermany,58.7,47.2,40.8,88.3,37.3,64.6
=113,McMaster UniversityCanada,58.7,43.5,45.4,82.3,66.1,76.2
=113,Queen Mary University of LondonUnited Kingdom,58.7,34.0,39.7,95.1,40.0,94.3
=116,University of Colorado BoulderUnited States,58.6,42.5,43.7,96.1,38.0,39.4
=116,École PolytechniqueFrance,58.6,58.6,40.6,67.2,71.9,92.3
118,Ghent UniversityBelgium,58.5,43.0,55.5,75.7,84.4,55.1
119,City University of Hong KongHong Kong,58.4,42.1,44.5,81.6,66.4,83.5
120,University of CopenhagenDenmark,58.2,46.8,33.1,89.8,44.2,82.3
=121,Pierre and Marie Curie UniversityFrance,58.1,52.9,33.7,86.2,38.2,71.4
=121,Radboud University NijmegenNetherlands,58.1,35.0,50.6,87.2,45.2,68.3
=121,University of SouthamptonUnited Kingdom,58.1,39.2,46.1,82.8,39.2,90.2
=121,University of VirginiaUnited States,58.1,53.7,38.6,86.6,41.9,44.6
125,University of Western AustraliaAustralia,58.0,32.3,44.9,89.0,48.8,92.9
=126,Case Western Reserve UniversityUnited States,57.9,50.2,38.9,90.2,36.8,42.0
=126,University of ExeterUnited Kingdom,57.9,34.6,39.2,94.3,34.9,87.6
128,Université Catholique de LouvainBelgium,57.8,39.6,51.3,78.5,51.5,75.6
129,University of YorkUnited Kingdom,57.7,42.5,45.9,79.8,34.1,84.5
130,University of BirminghamUnited Kingdom,57.6,38.6,42.4,86.8,38.0,84.2
131,Arizona State UniversityUnited States,57.2,38.5,48.9,87.7,36.6,49.7
=131,Trinity College DublinIreland,57.2,44.2,45.3,75.4,38.6,90.4
132,University of OsloNorway,56.9,39.7,43.1,85.5,42.9,71.2
133,University of LeedsUnited Kingdom,56.8,42.3,43.0,81.3,39.0,78.2
134,University of FloridaUnited States,56.6,53.6,48.1,72.9,65.7,35.2
=135,Tufts UniversityUnited States,56.5,48.1,34.3,88.5,58.5,50.5
=135,Ulm UniversityGermany,56.5,38.2,38.1,91.0,84.0,56.9
=137,University of GenevaSwitzerland,56.4,37.4,41.1,79.3,66.7,98.3
=137,Lancaster UniversityUnited Kingdom,56.4,37.0,40.9,84.7,35.6,89.1
=137,Scuola Normale Superiore di PisaItaly,56.4,54.0,47.5,70.3,51.6,47.3
=137,Sungkyunkwan University (SKKU)South Korea,56.4,53.7,50.6,66.5,88.9,39.6
141,"Rutgers, the State University of New JerseyUnited States",56.2,47.7,49.8,77.9,36.6,35.6
142,University of AdelaideAustralia,56.1,37.1,43.9,78.8,67.5,86.3
143,University of Notre DameUnited States,55.9,50.2,40.7,80.2,37.4,48.2
=144,Karlsruhe Institute of TechnologyGermany,55.8,41.3,45.2,76.4,98.3,59.5
=144,Stockholm UniversitySweden,55.8,32.2,46.2,86.8,33.8,72.1
146,"University of California, Santa CruzUnited States",55.6,34.7,35.3,99.8,40.9,48.7
147,University of NottinghamUnited Kingdom,55.5,41.0,41.3,78.9,39.8,81.6
148,University of Cape TownSouth Africa,55.3,32.4,37.2,87.3,88.8,80.1
149,University of SussexUnited Kingdom,55.1,32.6,37.9,88.1,33.7,88.8
150,Indiana UniversityUnited States,55.0,46.4,40.2,82.1,35.2,47.0
=151,University of LausanneSwitzerland,54.9,31.8,46.6,75.6,76.1,90.1
=151,University of RochesterUnited States,54.9,43.4,32.4,89.4,38.9,58.9
=153,University of Science and Technology of ChinaChina,54.7,51.8,43.4,74.7,77.6,24.2
=153,University of TwenteNetherlands,54.7,36.8,46.7,70.8,84.6,83.6
155,Fudan UniversityChina,54.6,55.3,47.0,65.7,53.2,37.5
=156,University of ArizonaUnited States,54.5,42.9,42.2,83.2,35.6,41.7
=156,Vrije Universiteit AmsterdamNetherlands,54.5,33.1,40.2,89.4,50.3,58.9
158,University of LiverpoolUnited Kingdom,54.3,35.1,35.2,85.7,37.4,87.7
159,KTH Royal Institute of TechnologySweden,54.1,42.5,45.3,67.4,51.1,83.3
160,University of Erlangen-NurembergGermany,54.0,38.7,43.6,77.3,96.0,49.1
=161,University of MünsterGermany,53.9,40.8,38.3,84.4,62.6,44.3
=161,University of ViennaAustria,53.9,41.1,46.6,65.9,33.5,93.0
163,Autonomous University of BarcelonaSpain,53.7,39.4,36.4,86.7,39.9,52.3
164,TU DresdenGermany,53.5,42.3,45.6,70.2,95.7,49.4
=165,University of AucklandNew Zealand,53.4,32.8,40.8,75.8,70.5,90.5
=165,"University of California, RiversideUnited States",53.4,32.0,33.7,93.4,40.5,62.2
=165,University of East AngliaUnited Kingdom,53.4,30.7,31.1,92.4,32.4,84.3
=165,University of MassachusettsUnited States,53.4,40.4,34.8,85.6,50.2,51.5
169,Texas A&M UniversityUnited States,53.2,53.1,57.0,50.7,46.9,50.1
=170,University of CologneGermany,53.1,40.2,38.3,79.2,64.3,55.9
=170,University of GothenburgSweden,53.1,30.3,40.5,87.9,39.9,59.6
172,University of LeicesterUnited Kingdom,53.0,30.9,32.4,88.4,35.1,87.6
=173,"Royal Holloway, University of LondonUnited Kingdom",52.9,33.3,32.3,84.5,35.7,93.0
=173,University of WaterlooCanada,52.9,37.8,44.9,70.8,41.0,77.5
175,Pompeu Fabra UniversitySpain,52.8,30.3,33.0,93.1,40.5,65.1
176,Technical University of DenmarkDenmark,52.5,38.3,30.0,80.2,60.6,85.8
177,Eindhoven University of TechnologyNetherlands,52.4,36.6,43.5,71.7,56.9,72.0
178,University of LuxembourgLuxembourg,52.2,29.7,30.0,85.8,40.6,99.9
179,Paris-Sud UniversityFrance,52.1,40.6,31.1,83.2,32.5,64.0
=180,University of DundeeUnited Kingdom,52.0,26.7,31.0,92.3,43.8,79.1
=180,University of HamburgGermany,52.0,42.0,41.6,70.5,60.6,56.7
=182,Cardiff UniversityUnited Kingdom,51.7,31.8,36.9,80.9,37.0,78.9
=182,University of MiamiUnited States,51.7,43.1,17.1,92.5,38.1,65.8
=182,Northeastern UniversityUnited States,51.7,38.2,25.7,89.8,35.5,63.0
=182,University of the WitwatersrandSouth Africa,51.7,26.4,37.3,82.9,100.0,69.4
=186,Hebrew University of JerusalemIsrael,51.6,44.3,39.6,71.1,35.4,56.1
=186,University of WürzburgGermany,51.6,34.8,37.0,83.4,48.1,51.2
=188,University of AberdeenUnited Kingdom,51.5,31.0,31.2,82.6,44.5,92.0
=188,Lomonosov Moscow State UniversityRussian Federation,51.5,75.2,61.6,12.5,89.1,59.9
=190,Newcastle UniversityUnited Kingdom,51.3,33.6,32.1,81.0,38.7,84.9
=190,Scuola Superiore Sant’AnnaItaly,51.3,44.7,33.9,74.1,86.6,44.9
=192,Hong Kong Polytechnic UniversityHong Kong,51.2,35.0,41.8,69.9,47.9,79.7
=192,University of ReadingUnited Kingdom,51.2,36.8,37.5,71.6,36.6,86.6
194,University of KonstanzGermany,51.1,39.8,44.5,64.4,73.1,62.6
=195,University of CalgaryCanada,51.0,34.8,35.2,77.9,48.8,71.5
=195,National Taiwan UniversityTaiwan,51.0,51.4,52.5,54.5,47.8,29.9
197,University of Duisburg-EssenGermany,50.9,34.1,28.7,87.5,77.8,50.6
=198,Brandeis UniversityUnited States,50.8,29.8,24.6,99.7,33.8,49.2
=198,Tilburg UniversityNetherlands,50.8,38.8,50.2,57.0,58.0,74.3
200,University of Illinois at ChicagoUnited States,50.6,46.0,35.3,69.6,41.6,57.1
201—250,Aalborg UniversityDenmark,46.3—50.4,24.2,35.2,80.1,44.8,71.7
201—250,Aalto UniversityFinland,46.3—50.4,34.4,29.0,75.0,52.5,69.6
201—250,University of AntwerpBelgium,46.3—50.4,34.5,39.8,73.0,54.6,64.9
201—250,University of BarcelonaSpain,46.3—50.4,33.7,33.0,81.3,35.3,49.3
201—250,University of BergenNorway,46.3—50.4,29.8,29.3,86.2,36.6,74.0
201—250,"Birkbeck, University of LondonUnited Kingdom",46.3—50.4,27.4,35.1,67.0,32.6,88.4
201—250,University of BolognaItaly,46.3—50.4,35.6,27.5,81.7,37.4,42.8
201—250,Boston CollegeUnited States,46.3—50.4,47.3,19.3,79.9,43.8,60.2
201—250,CentraleSupélecFrance,46.3—50.4,35.8,14.7,78.1,56.4,84.0
201—250,University of CincinnatiUnited States,46.3—50.4,37.8,29.6,75.4,41.9,31.8
201—250,University College DublinIreland,46.3—50.4,31.5,37.8,72.5,37.4,88.1
201—250,University of DelawareUnited States,46.3—50.4,26.9,36.8,78.1,92.5,44.0
201—250,ESPCI ParisTechFrance,46.3—50.4,45.3,22.3,76.2,77.1,49.7
201—250,Florida State UniversityUnited States,46.3—50.4,40.8,39.5,67.1,34.2,45.7
201—250,George Washington UniversityUnited States,46.3—50.4,47.1,27.7,70.7,32.9,48.0
201—250,Goethe University FrankfurtGermany,46.3—50.4,32.4,27.5,79.7,38.2,59.4
201—250,University of Hawai’i at MānoaUnited States,46.3—50.4,34.2,38.7,73.2,53.2,63.5
201—250,University of IcelandIceland,46.3—50.4,16.9,27.6,92.0,52.7,60.3
201—250,Indian Institute of ScienceIndia,46.3—50.4,50.1,49.2,47.3,48.0,18.1
201—250,University of IowaUnited States,46.3—50.4,40.9,27.1,74.9,53.8,34.6
201—250,University of KielGermany,46.3—50.4,31.6,27.2,90.8,33.5,51.2
201—250,King Abdulaziz UniversitySaudi Arabia,46.3—50.4,26.4,12.4,93.3,66.0,92.1
201—250,Korea UniversitySouth Korea,46.3—50.4,40.9,45.4,49.2,98.6,44.0
201—250,Université Libre de BruxellesBelgium,46.3—50.4,26.3,42.8,74.4,44.5,83.3
201—250,Nanjing UniversityChina,46.3—50.4,41.7,36.9,61.5,73.9,51.4
201—250,"National University of Ireland, GalwayIreland",46.3—50.4,27.7,27.8,76.7,41.4,78.1
201—250,University of NewcastleAustralia,46.3—50.4,29.3,28.5,73.5,63.7,79.8
201—250,North Carolina State UniversityUnited States,46.3—50.4,37.5,32.7,68.4,42.0,50.2
201—250,University of OtagoNew Zealand,46.3—50.4,30.5,30.7,80.1,35.6,88.6
201—250,University of OuluFinland,46.3—50.4,30.3,32.6,75.1,39.9,54.2
201—250,Paris Descartes UniversityFrance,46.3—50.4,24.6,32.5,84.6,38.6,51.7
201—250,Paris Diderot University – Paris 7France,46.3—50.4,28.9,24.0,91.8,32.9,65.7
201—250,Polytechnic University of MilanItaly,46.3—50.4,32.6,30.3,76.4,59.3,52.6
201—250,Queensland University of TechnologyAustralia,46.3—50.4,28.4,37.9,67.4,58.9,77.9
201—250,Queen’s UniversityCanada,46.3—50.4,38.9,34.8,60.9,41.7,64.7
201—250,Queen’s University BelfastUnited Kingdom,46.3—50.4,31.2,31.9,78.3,37.1,94.3
201—250,Royal College of Surgeons in IrelandIreland,46.3—50.4,35.5,18.6,81.7,37.1,89.5
201—250,Shanghai Jiao Tong UniversityChina,46.3—50.4,51.9,56.5,41.5,90.5,29.3
201—250,Simon Fraser UniversityCanada,46.3—50.4,23.8,31.9,77.0,47.5,89.3
201—250,University of South FloridaUnited States,46.3—50.4,27.8,34.9,75.2,95.8,44.4
201—250,"St George’s, University of LondonUnited Kingdom",46.3—50.4,21.3,20.7,100.0,35.5,67.7
201—250,Stony Brook UniversityUnited States,46.3—50.4,34.7,24.5,86.8,35.6,55.6
201—250,University of StuttgartGermany,46.3—50.4,42.3,44.5,53.4,100.0,47.2
201—250,"University of Technology, SydneyAustralia",46.3—50.4,27.1,40.0,73.8,44.2,92.3
201—250,Technical University of DarmstadtGermany,46.3—50.4,38.2,43.0,52.5,95.1,54.7
201—250,Tel Aviv UniversityIsrael,46.3—50.4,41.0,51.1,55.1,45.3,49.1
201—250,University of Texas at DallasUnited States,46.3—50.4,26.9,32.5,90.4,43.3,53.1
201—250,Tohoku UniversityJapan,46.3—50.4,48.6,47.3,50.4,69.5,32.4
201—250,University of TrentoItaly,46.3—50.4,23.6,27.7,89.3,41.3,57.3
201—250,University of UtahUnited States,46.3—50.4,37.9,30.5,86.7,47.8,32.5
201—250,Wake Forest UniversityUnited States,46.3—50.4,37.8,20.3,92.6,41.3,26.1
201—250,Western UniversityCanada,46.3—50.4,40.1,34.9,69.3,55.1,73.6
201—250,Zhejiang UniversityChina,46.3—50.4,51.7,54.2,44.5,89.2,22.0
201—250,École Normale Supérieure de LyonFrance,46.3—50.4,44.5,30.4,64.5,34.9,68.4
251—300,University of BathUnited Kingdom,43.5—46.2,31.8,31.0,65.1,37.2,85.5
251—300,University of BayreuthGermany,43.5—46.2,32.6,31.4,66.3,63.5,53.8
251—300,Bielefeld UniversityGermany,43.5—46.2,37.6,43.7,55.6,59.3,46.2
251—300,University at BuffaloUnited States,43.5—46.2,38.0,29.0,66.1,42.8,64.6
251—300,Chalmers University of TechnologySweden,43.5—46.2,38.8,28.5,61.9,70.8,75.8
251—300,Charles Darwin UniversityAustralia,43.5—46.2,18.4,19.0,91.7,44.3,77.2
251—300,Colorado School of MinesUnited States,43.5—46.2,32.6,27.8,73.5,74.9,39.9
251—300,Copenhagen Business SchoolDenmark,43.5—46.2,19.8,24.4,76.8,39.4,89.9
251—300,Dalhousie UniversityCanada,43.5—46.2,29.1,29.6,70.7,47.6,80.1
251—300,Deakin UniversityAustralia,43.5—46.2,23.0,24.5,75.5,34.1,76.8
251—300,Free University of Bozen-BolzanoItaly,43.5—46.2,22.8,8.1,96.1,32.3,79.9
251—300,University of FribourgSwitzerland,43.5—46.2,33.7,32.7,56.8,59.7,86.8
251—300,Griffith UniversityAustralia,43.5—46.2,22.6,28.5,74.8,41.3,82.3
251—300,University of HohenheimGermany,43.5—46.2,34.1,30.1,66.5,49.6,51.1
251—300,James Cook UniversityAustralia,43.5—46.2,21.7,22.3,84.2,43.2,74.1
251—300,Johannes Gutenberg University of MainzGermany,43.5—46.2,35.8,22.0,76.3,57.8,54.5
251—300,Koç UniversityTurkey,43.5—46.2,25.2,29.8,70.3,81.9,54.4
251—300,Laval UniversityCanada,43.5—46.2,37.0,27.3,67.2,54.7,65.5
251—300,Macquarie UniversityAustralia,43.5—46.2,32.5,36.5,62.3,41.3,75.0
251—300,University of MarburgGermany,43.5—46.2,35.1,27.2,73.7,37.4,49.6
251—300,Mines ParisTechFrance,43.5—46.2,43.5,20.3,64.5,98.6,63.4
251—300,National Tsing Hua UniversityTaiwan,43.5—46.2,38.7,40.1,55.8,47.3,26.6
251—300,Norwegian University of Science and TechnologyNorway,43.5—46.2,30.1,32.8,65.5,46.5,65.3
251—300,Oregon Health and Science UniversityUnited States,43.5—46.2,29.7,15.3,97.6,44.9,23.2
251—300,Osaka UniversityJapan,43.5—46.2,52.6,49.6,38.2,73.9,28.8
251—300,University of OttawaCanada,43.5—46.2,38.1,21.0,67.5,41.5,71.8
251—300,Rensselaer Polytechnic InstituteUnited States,43.5—46.2,33.6,33.5,67.3,79.1,43.1
251—300,Ruhr University BochumGermany,43.5—46.2,36.7,36.2,56.9,59.2,51.6
251—300,Rush UniversityUnited States,43.5—46.2,38.4,13.6,89.8,44.0,22.3
251—300,Sapienza University of RomeItaly,43.5—46.2,38.3,35.3,67.2,41.0,37.6
251—300,University of South AustraliaAustralia,43.5—46.2,29.9,29.9,58.4,82.9,90.1
251—300,University of Southern DenmarkDenmark,43.5—46.2,21.4,23.6,81.6,69.9,76.9
251—300,University of SurreyUnited Kingdom,43.5—46.2,30.0,32.6,60.9,37.6,91.8
251—300,Swedish University of Agricultural SciencesSweden,43.5—46.2,31.3,22.3,77.7,98.9,46.8
251—300,Syracuse UniversityUnited States,43.5—46.2,32.9,25.9,75.4,36.4,41.4
251—300,University of São PauloBrazil,43.5—46.2,57.2,60.2,25.7,39.6,28.3
251—300,University of TampereFinland,43.5—46.2,26.2,29.3,75.9,52.2,40.1
251—300,"University of Tennessee, KnoxvilleUnited States",43.5—46.2,30.5,21.5,83.0,42.1,39.5
251—300,Tokyo Institute of TechnologyJapan,43.5—46.2,48.4,50.5,41.7,64.1,32.9
251—300,Umeå UniversitySweden,43.5—46.2,22.6,28.6,79.7,35.2,59.9
251—300,Vienna University of TechnologyAustria,43.5—46.2,38.1,25.5,57.7,70.9,79.1
251—300,Virginia Polytechnic Institute and State UniversityUnited States,43.5—46.2,34.9,39.9,62.1,44.1,31.4
251—300,William & MaryUnited States,43.5—46.2,40.8,16.8,82.2,32.7,28.8
251—300,University of WollongongAustralia,43.5—46.2,28.3,32.1,64.1,49.2,87.0
251—300,Yonsei UniversitySouth Korea,43.5—46.2,44.2,40.1,44.0,79.8,48.3
301—350,Aberystwyth UniversityUnited Kingdom,40.7—43.3,20.5,21.3,77.5,34.9,75.1
301—350,Aix-Marseille UniversityFrance,40.7—43.3,34.5,21.2,69.5,35.1,57.2
301—350,University of Alaska FairbanksUnited States,40.7—43.3,28.3,24.0,70.5,50.5,55.0
301—350,Anglia Ruskin UniversityUnited Kingdom,40.7—43.3,14.7,10.5,99.2,32.8,67.0
301—350,Bangor UniversityUnited Kingdom,40.7—43.3,25.2,21.9,65.9,33.6,81.3
301—350,University of BordeauxFrance,40.7—43.3,29.8,19.6,76.6,34.6,54.4
301—350,University of BremenGermany,40.7—43.3,36.2,29.4,61.7,47.0,50.4
301—350,Brunel University LondonUnited Kingdom,40.7—43.3,24.9,26.0,61.3,37.2,92.3
301—350,Central European UniversityHungary,40.7—43.3,39.8,27.0,48.8,32.2,97.0
301—350,Clark UniversityUnited States,40.7—43.3,24.4,8.0,93.7,32.8,59.0
301—350,Colorado State UniversityUnited States,40.7—43.3,29.6,32.6,63.4,43.6,35.1
301—350,University of ConnecticutUnited States,40.7—43.3,37.0,28.2,62.5,35.1,40.6
301—350,University of CreteGreece,40.7—43.3,18.7,19.1,83.0,37.8,46.9
301—350,University of DenverUnited States,40.7—43.3,37.7,23.6,67.2,34.9,28.7
301—350,University of EssexUnited Kingdom,40.7—43.3,32.3,36.0,47.7,32.8,95.2
301—350,Federal University of Toulouse Midi-PyrénéesFrance,40.7—43.3,30.9,26.2,62.4,36.2,62.8
301—350,George Mason UniversityUnited States,40.7—43.3,28.1,24.6,73.4,33.4,38.7
301—350,University of GeorgiaUnited States,40.7—43.3,33.0,35.0,57.2,34.9,41.7
301—350,"Goldsmiths, University of LondonUnited Kingdom",40.7—43.3,28.4,30.6,63.8,32.2,75.4
301—350,Grenoble Alpes UniversityFrance,40.7—43.3,26.7,21.9,71.7,34.3,60.0
301—350,Gwangju Institute of Science and TechnologySouth Korea,40.7—43.3,39.5,39.9,51.9,44.9,35.2
301—350,University of InnsbruckAustria,40.7—43.3,26.1,18.7,70.8,43.1,96.2
301—350,Justus Liebig University GiessenGermany,40.7—43.3,33.2,29.4,60.5,41.5,46.9
301—350,University of KentUnited Kingdom,40.7—43.3,22.8,22.3,68.7,32.5,89.3
